CUSTOMER,ITEM,QTY
1000022,1044255,1
1000022,1044338,1
1000022,1044680,4
1000022,1060063,20
1000022,1060064,14
1000022,1076398,4
1000022,1212049,1
1000022,1212050,1
1000022,2033415,4
1000022,2033416,4
1000022,2067169,1
1000022,2074797,4
1000022,5311684,8
1000022,6025622,8
1000023,1024445,2
1000023,1047717,2
1000023,1090047,7
1000023,1102165,1
1000023,1212028,1
1000023,1212029,1
1000023,1212033,1
1000023,1212034,1
1000023,1212037,9
1000023,1212038,9
1000023,1212060,2
1000023,1212061,2
1000023,2027726,2
1000023,2028369,1
1000023,2067169,15
1000023,2074406,7
1000023,2074407,2
1000023,2102275,1
1000023,6035129,1
1000023,6054121,3
1000026,1019973,1
1000026,1060058,61
1000026,1060847,50
1000026,1061172,4
1000026,1061173,4
1000026,1061176,5
1000026,1061177,5
1000026,1061178,5
1000026,1061179,5
1000026,1070646,2
1000026,1070647,2
1000026,1078498,7
1000026,1207652,2
1000026,1212017,2
1000026,1212019,2
1000026,1212053,1
1000026,1212071,1
1000026,1213763,1
1000026,1213764,1
1000026,2020204,1
1000026,2067169,1
1000026,2099265,4
1000026,5307083,2
1000026,5307084,5
1000026,6023140,7
1000026,6025470,2
1000026,6035129,1
1000033,1081529,12
1000033,1200558,6
1000033,1200575,6
1000033,2031065,6
1000033,2033412,12
1000033,6035129,2
1000040,1060058,214
1000040,1090999,320
1000040,1091035,2
1000040,5307084,86
1000040,6034309,318
1000040,6045184,2
1000045,1027377,2
1000045,1029491,1
1000048,5311688,57
1000048,6025615,57
1000070,1060056,2
1000070,1060066,8
1000091,1019972,6
1000091,1029489,2
1000091,1051487,2
1000091,1056985,6
1000091,1059966,20
1000091,1060065,245
1000091,1060846,342
1000091,1061176,1
1000091,1061177,1
1000091,1062566,82
1000091,1068191,44
1000091,1093859,20
1000091,1093860,20
1000091,1221403,25
1000091,1221411,2
1000091,1221413,2
1000091,1221418,2
1000091,1221420,2
1000091,1221426,22
1000091,1221433,25
1000091,1221435,22
1000091,2016178,2
1000091,2016179,2
1000091,2020214,6
1000091,2024352,3
1000091,2066603,2
1000091,2067169,58
1000091,2080165,2
1000091,2099265,10
1000091,5307082,7
1000091,5307083,42
1000091,5307085,24
1000091,5309397,1953
1000091,5309718,130
1000091,6025612,1512
1000091,6025614,183
1000091,6027952,42
1000091,6035129,4
1000091,6054343,35
1000117,1046209,2
1000117,1212056,2
1000117,1212057,2
1000117,2020214,1
1000117,2047443,2
1000117,2047841,2
1000117,2067169,2
1000131,2016178,6
1000131,2016179,6
1000131,2016180,6
1000131,2034879,26
1000131,2034880,40
1000140,1212064,1
1000140,1212065,1
1000140,2067169,2
1000141,2034879,1
1000141,2039857,1
1000141,2039858,1
1000163,1050748,2
1000163,1056983,54
1000163,2033412,2
1000163,2034819,50
1000163,7083088,1
1000168,1073015,38
1000168,1073017,1
1000168,1078498,40
1000168,1085900,6
1000168,5309313,4
1000168,6025472,4
1000168,6025670,4
1000168,6027943,6
1000173,1207649,4
1000178,1213765,12
1000178,1213766,12
1000178,1216684,4
1000178,1216685,4
1000178,2067169,16
1000185,1061177,2
1000185,1099012,3
1000185,1099013,20
1000185,1099027,14
1000185,1099028,3
1000185,1099029,29
1000185,1099030,33
1000185,1099031,4
1000208,1060058,2
1000208,1221407,1
1000208,1221408,2
1000208,1221411,9
1000208,1221413,4
1000208,1221418,9
1000208,1221420,4
1000208,1221425,1
1000208,1221426,3
1000208,1221434,1
1000208,1221435,3
1000208,2067169,18
1000208,5311686,1
1000208,5311688,6
1000208,6025614,1
1000208,6025615,6
1000227,1085899,2
1000227,1085900,18
1000230,1027377,228
1000230,1044631,1
1000230,1044680,1
1000230,1058668,10
1000230,1062899,2
1000230,1085667,16
1000230,1085668,16
1000230,1085899,129
1000230,1086266,1
1000230,1099028,19
1000230,2033414,228
1000230,2069284,2
1000230,2077816,2
1000230,6035129,7
1000231,6035419,1
1000231,6035420,1
1000231,6035429,1
1000231,6035430,1
1000245,1044629,23
1000245,1044680,97
1000245,1047717,26
1000245,1059860,26
1000245,1060058,62
1000245,1085899,2
1000245,1085900,2
1000245,1212037,1
1000245,1212038,1
1000245,6025470,6
1000245,6025644,11
1000264,1061176,2
1000264,1061177,2
1000264,1061178,6
1000264,1061179,6
1000291,1024445,3
1000291,1212056,1
1000291,1212057,1
1000291,1216312,1
1000291,1216313,1
1000291,1216320,1
1000291,1216321,1
1000291,2027735,8
1000291,6035129,2
1000292,1213759,3
1000292,1213760,3
1000292,1213761,1
1000292,1213762,1
1000292,1213763,2
1000292,1213764,2
1000292,1213771,1
1000292,1213772,1
1000292,2066603,18
1000299,1076397,1
1000299,2027735,2
1000299,2039803,3
1000300,1019216,1
1000300,1019217,1
1000300,1051487,1
1000300,1212053,1
1000300,1212064,1
1000300,1212065,1
1000300,1212071,1
1000340,1044338,1
1000340,1060065,1
1000340,1061177,1
1000340,2020214,4
1000340,2027735,18
1000340,2067169,25
1000346,1059966,15
1000346,1060059,2
1000346,1063095,12
1000346,1085900,13
1000409,1044255,2
1000409,1044680,4
1000409,1060064,59
1000409,1061172,18
1000409,1061173,18
1000409,1061174,28
1000409,1061175,27
1000409,1061176,9
1000409,1061177,7
1000409,1061178,5
1000409,1061179,5
1000409,1062566,10
1000409,1221403,1
1000409,1221411,3
1000409,1221418,3
1000409,1221433,1
1000409,5307084,17
1000409,6026691,3
1000409,6027952,15
1000436,2016178,10
1000436,2016179,10
1000445,2016178,5
1000445,2016179,5
1000445,2034879,3
1000454,1018733,1
1000454,1019196,1
1000454,1019197,1
1000454,1024604,1
1000454,2027735,2
1000481,1024101,1
1000481,1056982,1
1000481,1200568,2
1000481,1200585,2
1000481,1212054,8
1000481,1212055,8
1000481,1212062,13
1000481,1212063,13
1000481,2016178,2
1000481,2016179,2
1000481,2016180,2
1000481,2027726,1
1000481,2031065,2
1000481,2033415,1
1000481,2034880,2
1000481,2039857,1
1000481,2067169,16
1000481,6035129,1
1000493,7083088,1
1000515,1027375,1
1000515,1060058,12
1000515,1060061,6
1000515,1062566,5
1000515,1068191,2
1000515,1221402,1
1000515,1221404,1
1000515,1221426,11
1000515,1221435,11
1000515,2067169,13
1000515,5311687,525
1000515,5311688,4
1000515,5311837,4
1000515,6025614,525
1000515,6025615,4
1000515,6050836,20
1000517,1019202,1
1000517,1019203,1
1000517,1041174,4
1000517,1078877,3
1000517,1078878,3
1000517,4031608,14
1000517,6035200,1
1000519,1016296,1
1000519,1017155,2
1000519,1018742,1
1000519,1060059,10
1000519,1060848,10
1000519,1073778,1
1000519,1077745,3
1000519,1085898,10
1000519,2027735,15
1000519,5307086,2
1000519,5311686,5
1000519,6025614,5
1000519,6055323,5
1000533,1056983,4
1000533,1070117,2
1000533,1085669,10
1000533,1085670,10
1000533,1085673,1
1000533,1085674,1
1000533,1212017,2
1000533,1212019,2
1000533,1212054,10
1000533,1212055,10
1000533,1213759,1
1000533,1213760,1
1000533,2020204,17
1000533,2034819,4
1000533,2066603,24
1000533,2067169,1
1000533,5309052,1
1000533,5311686,170
1000533,5330389,68
1000533,6023135,1
1000533,6025614,209
1000533,6035129,1
1000544,1027377,22
1000544,1213765,1
1000544,1213766,1
1000544,2034819,13
1000544,2067169,1
1000544,5330389,44
1000544,6021750,5
1000544,6025614,35
1000556,1063094,4
1000556,1213757,4
1000556,1213758,4
1000556,1213761,1
1000556,1213762,1
1000556,1213765,7
1000556,1213766,7
1000556,1213771,1
1000556,1213772,1
1000556,2034880,2
1000556,2067169,12
1000556,6025470,14
1000589,1020155,15
1000589,1024103,13
1000589,1044633,1
1000589,2016178,21
1000589,2016179,21
1000589,2027732,13
1000589,2028369,14
1000589,6033224,2
1000589,6033230,3
1000589,6035129,3
1000599,1059966,49
1000599,1061176,1
1000599,1061177,1
1000599,2020214,9
1000599,5307084,2
1000599,5309397,1
1000599,5311688,1
1000599,6021750,2
1000599,6025612,1
1000599,6025615,1
1000600,1060058,113
1000600,1085900,6
1000601,1019306,2
1000601,1019307,2
1000601,1048539,6
1000601,1048540,6
1000601,1073015,2
1000637,1221411,1
1000637,1221418,1
1000637,1221426,3
1000637,1221435,3
1000637,2067169,4
1000637,6025470,9
1000657,2034819,8
1000662,1060060,12
1000662,1060063,26
1000663,1200566,2
1000663,1200593,2
1000676,1085669,47
1000676,1085670,47
1000676,2020204,17
1000679,1019174,2
1000679,1019218,4
1000679,1019219,4
1000679,1019220,1
1000679,1019221,1
1000679,1059966,100
1000679,1060064,1
1000679,1212005,0
1000679,1212017,1
1000679,1212018,0
1000679,1212019,1
1000679,1212054,1
1000679,1212055,1
1000679,1212060,45
1000679,1212061,45
1000679,1213759,1
1000679,1213760,1
