CUSTOMER,ITEM,QTY
1000513,1019198,88
1000513,1019199,88
1000513,1019209,1
1000513,1024101,130
1000513,1026842,5
1000513,1027376,1
1000513,1029489,34
1000513,1046205,2
1000513,1048539,1
1000513,1048540,1
1000513,1053148,4
1000513,1060058,2
1000513,1104571,1
1000513,1200616,3
1000513,1200622,3
1000513,1212024,2
1000513,1212025,2
1000513,1212031,1
1000513,1212032,1
1000513,1212049,1
1000513,1212050,1
1000513,1212051,1
1000513,1212052,1
1000513,1212053,1
1000513,1212056,60
1000513,1212057,60
1000513,1212064,57
1000513,1212065,57
1000513,1212071,1
1000513,1213761,2
1000513,1213762,2
1000513,1215868,12
1000513,1215869,12
1000513,1216372,70
1000513,1216373,70
1000513,1220645,27
1000513,1220658,27
1000513,1220874,4
1000513,1220887,4
1000513,2016178,169
1000513,2016179,4
1000513,2016180,2
1000513,2020061,4
1000513,2020214,88
1000513,2024352,163
1000513,2027735,5
1000513,2047841,7
1000513,2066603,256
1000513,2067169,110
1000513,2077387,66
1000513,2077389,24
1000513,2084288,2
1000513,5307082,3
1000513,5307083,2
1000513,5307084,33
1000513,5307085,2
1000513,5307086,1
1000513,5309590,2
1000513,5309719,18
1000513,5311691,3
1000513,5311845,2
1000513,5321587,3
1000513,6021750,1
1000513,6025472,8
1000513,6025614,2
1000513,6025632,2
1000513,6030489,40
1000513,6035129,5
1000513,6035200,1
1000513,6035202,1
1000513,6035745,3
1000513,7083084,1
1000614,1044255,10
1000614,1044338,10
1000614,1044339,2
1000614,1044627,5
1000614,1044629,13
1000614,1044679,16
1000614,1044680,93
1000614,1047717,11
1000614,1051487,6
1000614,1056985,2
1000614,1059860,13
1000614,1060065,2
1000614,1060067,2
1000614,1061172,1
1000614,1061173,1
1000614,1061176,1
1000614,1061177,1
1000614,1061178,1
1000614,1061179,1
1000614,1068191,10
1000614,1085665,9
1000614,1085666,9
1000614,1085667,11
1000614,1085668,11
1000614,1085669,7
1000614,1085670,7
1000614,1085671,2
1000614,1085672,2
1000614,1085898,3
1000614,1085899,2
1000614,1085900,2
1000614,1212005,5
1000614,1212018,5
1000614,1212028,1
1000614,1212029,1
1000614,1212051,3
1000614,1212052,3
1000614,1212054,5
1000614,1212055,5
1000614,1221401,1
1000614,1221402,34
1000614,1221404,34
1000614,1221407,26
1000614,1221408,26
1000614,1221411,26
1000614,1221412,16
1000614,1221413,6
1000614,1221415,1
1000614,1221418,26
1000614,1221419,16
1000614,1221420,6
1000614,1221422,1
1000614,1221425,1
1000614,1221426,11
1000614,1221427,9
1000614,1221428,6
1000614,1221429,5
1000614,1221430,1
1000614,1221432,1
1000614,1221434,1
1000614,1221435,11
1000614,1221436,9
1000614,1221437,6
1000614,1221438,5
1000614,1221439,1
1000614,2023154,6
1000614,2034879,2
1000614,2034880,4
1000614,2066603,54
1000614,2067169,100
1000614,5309397,17
1000614,5309718,2
1000614,5309719,1
1000614,5311683,14
1000614,5311686,2
1000614,6021091,1
1000614,6025612,2
1000614,6025614,17
1000614,6025618,14
1000614,6025635,31
1000614,6026691,20
1000614,6033230,1
1000614,6033231,9
1000614,6035129,11
1000614,6035130,1
1000614,6045193,4
1000614,6051884,11
1000860,1019152,5
1000860,1019153,5
1000860,1024101,4
1000860,1024446,1
1000860,1043745,6
1000860,1043746,6
1000860,1046205,1
1000860,1046207,8
1000860,1046209,3
1000860,1053148,12
1000860,1053150,1
1000860,1076398,3
1000860,1095014,79
1000860,1212026,9
1000860,1212027,9
1000860,1212035,15
1000860,1212036,15
1000860,1212049,6
1000860,1212050,6
1000860,1212053,13
1000860,1212054,10
1000860,1212055,10
1000860,1212056,12
1000860,1212057,12
1000860,1212060,145
1000860,1212061,146
1000860,1212064,3
1000860,1212065,3
1000860,1212071,13
1000860,2016178,32
1000860,2020214,6
1000860,2024352,8
1000860,2027357,14
1000860,2027735,7
1000860,2047841,28
1000860,2067169,177
1000860,2074406,82
1000860,2100900,32
1000860,5307086,1
1000860,6035129,3
1000860,6035596,1
1000860,7083088,2
1000860,7083089,1
1000860,7083142,1
1001234,1016296,5
1001234,1024101,18
1001234,1024445,1
1001234,1029489,4
1001234,1044629,1
1001234,1044630,1
1001234,1044680,2
1001234,1046209,22
1001234,1056982,2
1001234,1058668,1
1001234,1068191,1
1001234,1085900,4
1001234,1212033,1
1001234,1212034,1
1001234,1212047,44
1001234,1212048,44
1001234,1212051,6
1001234,1212052,6
1001234,1212053,3
1001234,1212054,18
1001234,1212055,18
1001234,1212056,33
1001234,1212057,33
1001234,1212058,6
1001234,1212059,6
1001234,1212060,29
1001234,1212061,29
1001234,1212071,3
1001234,1213761,9
1001234,1213762,9
1001234,1213767,6
1001234,1213768,6
1001234,1213775,5
1001234,1213776,5
1001234,1216224,3
1001234,1216225,3
1001234,2016178,6
1001234,2024352,14
1001234,2027725,1
1001234,2027726,7
1001234,2028369,1
1001234,2033414,2
1001234,2033415,2
1001234,2033416,2
1001234,2034880,2
1001234,2047841,22
1001234,2067169,187
1001234,2069823,1
1001234,4071409,5
1001234,5307085,2
1001234,6023135,2
1001234,6025470,24
1001234,6025472,90
1001234,6035037,1
1001234,6035129,9
1001234,6051883,2
1001234,7083088,3
1001460,1068191,1
1001460,1085899,9
1001460,1221402,10
1001460,1221403,49
1001460,1221404,10
1001460,1221407,5
1001460,1221408,5
1001460,1221412,14
1001460,1221419,14
1001460,1221425,31
1001460,1221426,34
1001460,1221427,9
1001460,1221428,33
1001460,1221429,22
1001460,1221430,8
1001460,1221433,49
1001460,1221434,31
1001460,1221435,34
1001460,1221436,9
1001460,1221437,33
1001460,1221438,20
1001460,1221439,8
1001460,2039803,26
1001460,2067169,188
1001460,2099265,13
1001460,5309397,30
1001460,6021153,3
1001460,6025612,30
1001460,6035129,1
1001600,1016296,1
1001600,1019216,4
1001600,1019217,4
1001600,1019222,1
1001600,1019223,1
