,CUSTOMER,cluster
398,1003887,1
399,1003899,1
400,1003902,2
401,1003914,2
402,1003949,2
403,1003997,2
404,1004025,1
405,1004064,2
406,1004077,2
407,1004081,2
408,1004088,1
409,1004107,1
410,1004110,1
411,1004111,2
412,1004132,1
413,1004137,2
414,1004139,2
415,1004149,2
416,1004150,2
417,1004156,1
418,1004198,2
419,1004202,2
420,1004231,1
421,1004233,1
422,1004243,2
423,1004244,1
424,1004280,2
425,1004287,2
426,1004288,2
427,1004289,0
428,1004309,0
429,1004310,2
430,1004311,2
431,1004319,1
432,1004359,1
433,1004367,2
434,1004374,2
435,1004383,1
436,1004407,2
437,1004413,1
438,1004428,2
439,1004477,2
440,1004481,1
441,1004483,2
442,1004485,1
443,1004488,2
444,1004503,2
445,1004517,2
446,1004521,2
447,1004530,2
448,1004534,2
449,1004537,2
450,1004543,2
451,1004549,2
452,1004564,1
453,1004566,2
454,1004567,1
455,1004598,1
456,1004600,2
457,1004607,1
458,1004612,2
459,1004616,0
460,1004626,2
461,1004642,2
462,1004681,2
463,1004692,1
464,1004695,2
465,1004702,2
466,1004704,2
467,1004707,2
468,1004717,1
469,1004718,1
470,1004723,2
471,1004727,1
472,1004731,1
473,1004773,2
474,1004785,1
475,1004797,2
476,1004809,2
477,1004812,1
478,1004818,2
479,1004820,1
480,1004825,1
481,1004827,1
482,1004829,2
483,1004838,1
484,1004870,2
485,1004876,2
486,1004878,1
487,1004911,2
488,1004915,1
489,1004933,2
490,1004950,1
491,1004951,2
492,1004961,2
493,1004968,2
494,1004979,1
495,1004983,1
496,1004997,2
497,1005005,2
498,1005018,2
499,1005042,2
500,1005044,1
501,1005050,1
502,1005056,2
503,1005060,2
504,1005075,2
505,1005076,1
506,1005084,2
507,1005086,2
508,1005094,1
509,1005106,1
510,1005115,2
511,1005136,2
512,1005139,1
513,1005140,2
514,1005151,2
515,1005156,1
516,1005162,1
517,1005164,2
518,1005181,2
519,1005194,2
520,1005211,2
521,1005228,2
522,1005232,1
523,1005244,2
524,1005255,2
525,1005261,1
526,1005263,1
527,1005283,2
528,1005292,1
529,1005293,2
530,1005301,2
531,1005321,1
532,1005325,1
533,1005331,1
534,1005332,2
535,1005334,2
536,1005361,2
537,1005363,0
538,1005384,0
539,1005385,2
540,1005386,2
541,1005389,2
542,1005403,2
543,1005405,2
544,1005412,1
545,1005414,2
546,1005442,2
547,1005456,2
548,1005460,2
549,1005467,2
550,1005478,1
551,1005487,2
552,1005492,2
553,1005514,2
554,1005518,1
555,1005544,2
556,1005548,1
557,1005561,1
558,1005567,2
559,1005568,1
560,1005576,2
561,1005588,2
562,1005592,1
563,1005598,1
564,1005603,2
565,1005604,2
566,1005618,2
567,1005628,2
568,1005629,2
569,1005640,2
570,1005642,2
571,1005645,2
572,1005651,2
573,1005654,1
574,1005659,2
575,1005665,2
576,1005666,2
577,1005675,1
578,1005678,2
579,1005701,2
580,1005707,2
581,1005745,2
582,1005749,2
583,1005756,2
584,1005772,1
585,1005776,2
586,1005778,1
587,1005780,2
588,1005812,2
589,1005815,1
590,1005816,2
591,1005817,2
592,1005835,1
593,1005836,1
594,1005841,2
595,1005856,1
596,1005864,2
597,1005889,2
598,1005892,2
599,1005894,2
600,1005897,2
601,1005907,2
602,1005909,2
603,1005915,1
604,1005917,2
605,1005918,2
606,1005927,2
607,1005935,2
608,1005944,1
609,1005946,2
610,1005948,1
611,1005954,2
612,1005963,2
613,1005968,1
614,1005992,2
615,1005993,2
616,1006024,1
617,1006026,2
618,1006044,1
619,1006046,1
620,1006049,2
621,1006075,2
622,1006101,1
623,1006107,2
624,1006109,1
625,1006127,1
626,1006130,2
627,1006158,2
628,1006159,1
629,1006160,2
630,1006166,1
631,1006169,2
632,1006175,1
633,1006195,1
634,1006196,2
635,1006203,2
636,1006212,2
637,1006220,1
638,1006223,2
639,1006228,2
640,1006234,2
641,1006255,1
642,1006256,1
643,1006263,2
644,1006265,1
645,1006274,2
646,1006276,2
647,1006285,2
648,1006286,1
649,1006291,2
650,1006300,1
651,1006302,2
652,1006316,2
653,1006319,2
654,1006330,1
655,1006333,2
656,1006338,2
657,1006341,1
658,1006343,2
659,1006349,2
660,1006356,2
661,1006362,1
662,1006363,1
663,1006369,2
664,1006372,1
665,1006381,1
666,1006400,1
667,1006414,2
668,1006415,2
669,1006425,1
670,1006429,1
671,1006441,1
672,1006444,1
673,1006445,2
674,1006460,2
675,1006463,2
676,1006465,2
677,1006467,1
678,1006472,2
679,1006478,2
680,1006490,1
681,1006496,2
682,1006497,2
683,1006511,1
684,1006516,1
685,1006524,2
686,1006541,1
687,1006542,1
688,1006546,1
689,1006551,1
690,1006552,1
691,1006559,1
692,1006563,2
693,1006565,2
694,1006567,1
695,1006569,2
696,1006570,2
697,1006571,2
698,1006581,2
699,1006582,1
700,1006585,2
701,1006587,1
702,1006591,2
703,1006602,1
704,1006604,2
705,1006605,1
706,1006607,2
707,1006616,1
708,1006621,2
709,1006629,1
710,1006637,2
711,1006640,1
712,1006646,1
713,1006648,1
714,1006655,2
715,1006662,2
716,1006663,1
717,1006671,2
718,1006682,2
719,1006686,1
720,1006688,2
721,1006709,1
722,1006718,2
723,1006729,1
724,1006734,1
725,1006739,1
726,1006744,1
727,1006745,1
728,1006755,1
729,1006756,1
730,1006759,2
731,1006762,2
732,1006768,1
733,1006771,1
734,1006773,1
735,1006778,2
736,1006780,2
737,1006786,2
738,1006790,1
739,1006791,1
740,1006795,2
741,1006797,1
742,1006812,1
743,1006825,1
744,1006831,1
745,1006832,1
746,1006836,2
747,1006839,1
748,1006841,2
749,1006849,1
750,1006850,2
751,1006854,2
752,1006860,1
753,1006863,1
754,1006866,2
755,1006872,2
756,1006875,2
757,1006876,2
758,1006879,2
759,1006880,1
760,1006884,2
761,1006887,1
762,1006889,1
763,1006890,0
764,1006895,1
765,1006897,2
766,1006898,2
767,1006899,1
768,1006901,1
769,1006903,2
770,1006915,1
771,1006922,1
772,1006924,2
773,1006932,2
774,1006933,2
775,1006936,1
776,1006945,1
777,1006952,1
778,1006954,1
779,1006958,2
780,1006964,2
781,1006966,1
782,1006972,1
783,1006978,2
784,1006983,2
785,1006989,1
786,1006996,2
787,1007010,1
788,1007011,2
789,1007014,2
790,1007018,1
791,1007025,2
792,1007027,1
793,1007029,1
794,1007032,1
795,1007039,1
796,1007046,1
797,1007048,1
798,1007052,1
799,1007054,2
800,1007058,2
801,1007061,1
802,1007065,1
803,1007070,2
804,1007079,1
805,1007081,2
806,1007082,1
807,1007086,2
808,1007090,2
809,1007094,2
810,1007095,1
811,1007098,1
812,1007100,2
813,1007113,1
814,1007115,2
815,1007117,1
816,1007123,2
817,1007127,2
818,1007130,1
819,1007132,1
820,1007134,1
821,1007141,2
822,1007144,2
823,1007145,2
824,1007146,2
825,1007158,1
826,1007160,2
827,1007163,1
828,1007173,1
829,1007179,2
830,1007186,1
831,1007187,2
832,1007193,2
833,1007195,2
834,1007197,2
835,1007203,2
836,1007204,1
837,1007205,1
838,1007214,1
839,1007218,1
840,1007226,2
841,1007229,2
842,1007234,2
843,1007235,2
844,1007242,2
845,1007246,1
846,1007262,1
847,1007263,2
848,1007265,2
849,1007267,2
850,1007272,2
851,1007293,2
852,1007299,1
853,1007306,1
854,1007311,1
855,105350,2
856,105351,2
857,105354,1
858,114572,2
859,115854,1
860,115945,2
861,116024,1
862,116052,1
863,116077,2
864,116119,2
865,116145,1
866,116159,2
867,116192,1
868,116238,1
869,116242,2
870,116243,1
871,116265,1
872,116597,1
873,116598,2
874,116644,2
875,116716,1
876,116762,2
877,116763,2
878,116840,1
879,116845,1
880,116887,1
881,116917,2
882,116963,1
883,116970,1
884,116987,2
885,116991,2
886,117011,1
887,117012,2
888,117160,2
889,117166,2
890,117256,1
891,117257,1
892,117265,1
893,117398,2
894,117405,1
895,117408,2
896,117475,2
897,117517,1
898,117535,1
899,117579,2
900,117582,2
901,117626,1
902,117680,1
903,117683,2
904,117744,2
905,117753,2
906,117758,2
907,117759,2
908,117788,2
909,117836,2
910,117870,1
911,117879,1
912,117934,1
913,118051,2
914,118064,2
915,118087,2
916,118089,2
917,130913,2
918,130922,1
919,130923,1
920,132651,2
921,132694,2
922,132699,2
923,136470,2
924,136476,2
925,136544,2
926,136545,1
927,136546,2
928,136576,2
929,136581,2
930,145846,2
931,145872,2
932,145897,2
933,145957,2
934,145979,2
935,146030,2
936,146031,2
937,146040,2
938,146056,2
939,146078,2
940,146110,2
941,146115,2
942,146121,2
943,151490,2
944,151493,2
945,151495,2
946,151544,2
947,151546,2
948,151567,2
949,151572,2
950,151647,2
951,151651,2
952,151655,2
953,151666,2
954,151668,2
955,151678,2
956,151727,2
957,151762,2
958,151824,2
959,151843,2
960,151856,2
961,151860,2
962,151888,2
963,151892,2
964,151952,2
965,152003,2
966,152028,2
967,152042,2
968,152045,2
969,152103,2
970,152134,2
971,152175,2
972,152223,2
973,152230,2
974,152306,2
975,152321,2
976,152370,2
977,152433,2
978,152493,2
979,152507,2
980,152567,2
981,152570,2
982,152624,2
983,152662,2
984,152675,2
985,152683,2
986,152723,2
987,152729,2
988,152773,2
989,152810,2
990,152821,2
991,153099,2
992,153312,2
993,153388,2
994,153432,2
995,153526,2
996,153545,2
997,153593,2
998,153646,2
999,153687,2
1000,153689,2
1001,153698,2
1002,153725,2
1003,153773,2
1004,153775,2
1005,153857,2
1006,153940,2
1007,153997,2
1008,154062,2
1009,154074,2
1010,154110,2
1011,154152,2
1012,154176,2
1013,154177,2
1014,154289,2
1015,154411,2
1016,154481,2
1017,154485,2
1018,154494,2
1019,154523,2
1020,154528,2
1021,154620,2
1022,154631,2
1023,154640,2
1024,163337,2
1025,165575,2
1026,171896,2
1027,172008,2
1028,172055,2
1029,172063,2
1030,172070,2
1031,172078,2
1032,172147,2
1033,172149,2
1034,172385,2
1035,172429,2
1036,172442,2
1037,172524,2
1038,172820,2
1039,172939,2
1040,172940,2
1041,172966,2
1042,65,0
1043,92166,2
1044,92167,1
1045,92168,1
1046,92173,2
1047,92174,1
1048,92175,1
1049,92177,1
1050,92179,2
1051,92201,2
1052,92209,2
1053,92210,2
1054,92212,2
1055,92224,1
1056,92231,1
1057,92235,1
1058,92243,1
1059,92245,1
1060,92343,1
1061,92344,2
1062,92372,1
1063,92381,2
1064,92410,2
1065,92412,1
1066,92414,1
1067,92433,2
1068,92477,1
1069,92505,1
1070,92508,1
1071,92509,2
1072,92535,2
1073,92541,1
1074,92549,2
1075,92551,1
1076,92610,1
1077,92640,2
1078,92641,1
1079,92667,1
1080,92678,2
1081,92679,2
1082,92682,1
1083,92690,2
1084,92702,1
1085,92726,1
1086,92735,1
1087,92773,1
1088,92788,2
1089,92805,1
1090,92817,1
1091,92841,2
1092,92844,2
