CUSTOMER,ITEM,QTY
1002824,6045611,1
1002839,1200558,1
1002839,1200590,1
1002859,1060059,13
1002863,1085667,1
1002863,1085668,1
1002863,1213757,1
1002863,1213758,1
1002863,2067169,1
1002925,1099013,1
1002934,1018743,6
1002934,1018744,6
1002934,1062566,6
1002934,2020214,6
1002963,5307086,1
1002963,6012699,1
1002963,6012702,1
1002968,1044255,1
1002968,1044339,2
1002968,1044627,1
1002968,1044680,4
1002968,6035129,1
1003053,1061172,1
1003053,1061173,1
1003053,2080165,1
1003053,5307086,1
1003053,6012699,1
1003053,6012702,1
1003061,5330389,5
1003061,6025614,5
1003085,2020204,94
1003099,1056985,1
1003116,1061176,1
1003116,1061177,1
1003116,1061178,1
1003116,1061179,1
1003116,1070646,1
1003116,1070647,1
1003116,2082101,1
1003185,1085898,4
1003185,1213757,4
1003185,1213758,4
1003185,2067169,4
1003242,1024132,1
1003242,7083087,1
1003307,1041180,4
1003307,1200568,4
1003307,1200585,4
1003307,1212054,2
1003307,1212055,2
1003307,2020061,4
1003307,2067169,2
1003312,6026697,2
1003333,6035129,2
1003358,5307084,4
1003359,1060059,2
1003359,5309719,2
1003359,5311683,1
1003359,6025620,2
1003363,5309052,3
1003363,6021153,3
1003408,1056985,1
1003408,2034880,1
1003408,2067169,4
1003408,6035129,1
1003411,1085667,2
1003411,1085668,2
1003447,1060058,27
1003448,7083081,1
1003453,6035129,1
1003495,6035129,1
1003506,2016178,2
1003506,2016179,2
1003560,1212054,22
1003560,1212055,22
1003560,2067169,22
1003608,1051440,6
1003608,1073112,30
1003608,1073114,16
1003608,1076398,1
1003608,1083634,18
1003608,2031065,54
1003610,1044680,2
1003610,6026698,2
1003627,1221428,3
1003627,1221437,3
1003627,2067169,3
1003637,1062566,6
1003641,1085673,2
1003641,1085674,2
1003650,6025652,1
1003651,2020204,4
1003654,2031065,3
1003660,5311688,20
1003660,6025615,20
1003701,6021750,1
1003720,1085900,5
1003722,1085669,4
1003722,1085670,4
1003722,1085673,17
1003722,1085674,17
1003818,1204711,23
1003818,1204712,23
1003818,2031065,23
1003818,5309313,3
1003856,1213757,1
1003856,1213758,1
1003887,7083088,5
1003899,5309589,3
1003899,5311368,3
1003899,5326443,10
1003899,6025632,3
1004025,1059966,2
1004088,1062566,2
1004088,1213746,2
1004088,1213747,2
1004088,2067169,2
1004107,7083088,1
1004110,1027376,1
1004110,2034820,1
1004110,2034879,1
1004110,6035129,1
1004132,6035129,5
1004156,5309397,1
1004156,5309719,1
1004156,5311688,1
1004156,5311837,1
1004156,6025614,1
1004156,6025615,1
1004231,2034879,8
1004231,2039857,8
1004233,2066603,4
1004244,5311686,4
1004244,6025612,4
1004319,1060066,127
1004359,1068191,1
1004359,1212054,1
1004359,1212055,1
1004359,2067169,1
1004383,6035129,1
1004413,1060058,16
1004413,5307082,24
1004413,5311688,2
1004413,6025615,2
1004481,1213765,2
1004481,1213766,2
1004481,2067169,2
1004485,1027376,1
1004564,1213744,1
1004564,1213745,1
1004567,1085671,4
1004567,1085672,4
1004567,2020204,8
1004567,6026691,2
1004598,1212041,1
1004598,1212042,1
1004598,2067169,1
1004607,5307090,2
1004607,6021091,2
1004692,1221403,2
1004692,1221427,7
1004692,1221433,2
1004692,1221436,7
1004692,2067169,9
1004692,6025471,7
1004717,1212037,1
1004717,1212038,1
1004717,6025470,1
1004718,5311688,6
1004718,6025471,2
1004718,6025615,6
1004727,2018306,5
1004731,5330389,6
1004731,6025614,2
1004785,2027726,2
1004785,6025472,2
1004812,5307086,5
1004812,6035596,5
1004820,1081529,6
1004825,6034309,29
1004827,2067169,12
1004838,2077389,2
1004838,6035130,1
1004878,1213759,2
1004878,1213760,2
1004878,2099265,2
1004915,1050748,1
1004915,1085900,1
1004915,2016178,2
1004915,2034819,1
1004915,6035129,1
1004915,6051883,1
1004950,1221407,22
1004950,1221408,22
1004950,2067169,22
1004979,1084582,12
1004983,1212026,1
1004983,1212027,1
1004983,1212030,2
1004983,1212070,2
1004983,2066603,6
1004983,7083081,1
1005044,1213765,2
1005044,1213766,2
1005050,1076398,4
1005076,1059966,10
1005094,1027376,2
1005094,2033362,2
1005106,1041174,4
1005106,1081529,2
1005106,1085899,4
1005106,1086118,2
1005106,1086119,2
1005106,2033362,2
1005106,2034879,2
1005106,2067169,4
1005106,5309052,2
1005106,6023140,2
1005106,6035129,2
1005106,6035136,1
1005139,1076397,1
1005156,1024446,1
1005156,2016178,1
1005156,2016179,1
1005156,2016180,1
1005156,2024352,1
1005156,6035129,1
1005162,6031350,4
1005232,1213765,2
1005232,1213766,2
1005232,2067169,2
1005261,5330389,17
1005261,6025614,17
1005263,1212026,3
1005263,1212027,3
1005263,2020214,6
1005292,6025470,2
1005321,1047533,4
1005321,1060058,8
1005325,1212051,1
1005325,1212052,1
1005325,2067169,1
1005331,5311837,2
1005412,1068191,1
1005412,5307085,1
1005412,6023140,1
1005478,1018733,1
1005478,1018734,1
1005518,1085900,10
1005518,5307084,11
1005518,6023140,11
1005548,1059966,4
1005548,1085900,3
1005548,1085901,1
1005561,7083088,1
1005568,2047841,2
1005592,1060845,2
1005592,1062566,2
1005598,1068191,137
1005654,1212026,4
1005654,1212027,4
1005654,2023154,2
1005654,2067169,4
1005675,1078498,4
1005675,2023865,4
1005675,2027735,5
1005675,2046390,1
1005772,6027946,6
1005778,1212049,2
1005778,1212050,2
1005778,1212051,0
1005778,1212052,0
1005778,1212056,2
1005778,1212057,2
1005778,1212062,0
1005778,1212063,0
1005778,1212064,4
1005778,1212065,4
1005778,2067169,8
1005778,2099265,0
1005815,6027898,4
1005835,1085665,2
1005835,1085666,2
1005835,1085667,1
1005835,1085668,1
1005836,6035423,8
1005856,1213763,2
1005856,1213764,2
1005856,2067169,2
1005915,6035517,2
1005915,6035518,2
1005944,1085669,1
1005944,1085670,1
1005948,1216310,1
1005948,1216311,1
1005948,1216320,1
1005948,1216321,1
1005948,2067169,2
1005968,2034880,2
1006024,1060059,16
1006044,6025470,1
1006046,5311686,2
1006046,6025614,2
1006101,1100571,1
1006109,1213757,2
1006109,1213758,2
1006109,2099265,2
1006127,1085900,1
1006159,1085673,2
1006159,1085674,2
1006159,5309314,20
1006159,6025449,1
1006159,6025629,20
1006166,6026691,2
1006175,1213750,1
1006175,1213751,1
1006175,1213757,1
1006175,1213758,1
1006175,1213759,1
1006175,1213760,1
1006175,1213763,2
1006175,1213764,2
1006175,1213765,1
1006175,1213766,1
1006175,2067169,1
1006175,5309052,2
1006175,5309719,2
1006175,6023135,2
1006195,1026842,1
1006195,1027376,4
1006195,1028463,1
1006195,1068191,2
1006195,1085669,10
1006195,1085670,10
1006195,1085673,3
1006195,1085674,3
1006195,1100845,1
1006195,1200686,1
1006195,2034819,4
1006195,6026691,1
1006195,6035129,1
1006220,6035129,1
1006255,5311688,2
1006255,6025615,2
1006256,5309397,5
1006256,6025612,2
1006256,6025620,2
1006265,1213757,2
1006265,1213758,2
1006265,2071576,2
1006286,1213763,1
1006286,1213764,1
1006286,2067169,1
1006286,6025470,1
1006300,1056984,11
1006300,1060058,12
1006300,1085665,3
1006300,1085666,3
1006300,1085667,3
1006300,1085668,3
1006300,1085669,3
1006300,1085670,3
1006300,1085671,6
1006300,1085672,6
1006300,1085899,3
1006300,2034820,11
1006300,5309397,15
1006300,6025614,15
1006300,6026691,11
1006330,6025473,2
1006341,1099032,24
1006362,1060063,11
1006363,1056984,7
1006363,2034819,6
1006363,2034820,1
1006363,6026691,7
1006372,1059966,11
1006381,6051656,1
1006400,1085667,5
1006400,1085668,5
1006400,1085669,2
1006400,1085670,2
1006400,1085671,5
1006400,1085672,5
1006400,1085898,12
1006425,1019206,1
1006425,1040816,1
1006425,2020214,1
1006429,6025470,3
1006441,5309718,4
1006441,5311686,2
1006441,6025612,2
1006444,5307083,2
1006444,5309719,2
1006444,6030489,2
1006467,1085899,2
1006490,6025615,10
1006511,1100570,1
1006516,1060063,10
1006541,1043687,17
1006541,1043689,8
1006541,2031065,25
1006542,1207519,1
1006542,1207654,2
1006542,1207664,1
1006542,1207678,1
1006546,6035137,-1
1006551,2018105,6
1006552,1085899,3
1006559,1085669,1
1006559,1085670,1
1006567,1024446,1
1006567,1212026,2
1006567,1212027,2
1006567,1212054,2
1006567,1212055,2
1006567,1212060,2
1006567,1212061,2
1006567,1213767,1
1006567,1213768,1
1006582,1100811,1
1006582,1100812,1
1006587,1085665,15
1006587,1085666,15
1006602,1068191,2
1006602,1221426,1
1006602,1221430,1
1006602,1221435,1
1006602,1221439,1
1006602,2067169,2
1006605,1085671,14
1006605,1085672,14
1006616,1027375,1
1006616,2033362,1
1006616,2034880,1
1006616,6035129,1
1006629,1059966,52
1006640,1085900,7
1006640,5309589,1
1006640,5311368,1
1006640,5314785,2
1006640,6025632,1
1006646,5330389,4
1006646,6025614,4
1006648,7083082,1
1006663,1058196,3
1006663,2034819,3
1006663,6035129,3
1006686,7083088,1
1006709,1068191,1
1006709,1085673,1
1006709,1085674,1
1006709,1085900,2
1006729,1085899,1
1006729,1085900,2
1006734,1085899,1
1006734,1221411,1
1006734,1221418,1
1006739,1085665,2
1006739,1085666,2
1006744,2027735,17
1006745,7083091,1
1006755,7021907,2
1006756,7083088,1
1006768,1092343,4
1006768,5308938,4
1006771,1058196,4
1006771,2033411,4
1006773,2016178,1
1006790,1099027,2
1006790,1099029,14
1006791,1060058,5
1006791,1060847,5
1006797,1060847,3
1006797,1085667,1
1006797,1085668,1
1006797,1085901,1
1006797,1213763,2
1006797,1213764,2
1006797,2066603,4
1006812,5309314,4
1006812,5309589,6
1006812,6025439,6
1006812,6025628,4
1006812,6035417,2
1006812,6035418,2
1006825,2067169,1
1006831,1212054,1
1006831,1212055,1
1006831,2067169,1
1006832,1085667,2
1006832,1085668,2
1006839,1061172,1
1006839,1061173,1
1006849,2034880,1
1006860,1085667,1
1006860,1085668,1
1006860,1085673,10
1006860,1085674,10
1006863,1212058,1
1006863,1212059,1
1006863,2067169,1
1006863,6025470,1
1006863,6045871,1
1006880,2039803,5
1006887,1027375,36
1006887,1056982,30
1006887,2033414,24
1006887,2033415,27
1006887,2033416,20
1006887,2034880,71
1006887,6035129,4
1006887,6035130,4
1006887,6035136,16
1006889,1027375,2
1006895,1061176,10
1006895,1061177,10
1006899,6025615,2
1006901,1042582,9
1006901,2046560,5
1006915,1060847,2
1006915,1062566,2
1006922,1024103,1
1006922,2024352,1
1006922,6035129,1
1006936,1085669,1
1006936,1085670,1
1006945,1085899,4
1006945,1212056,4
1006945,1212057,4
1006945,2067169,4
1006952,1085900,4
1006952,6025472,4
1006954,1212066,1
1006954,1212067,1
1006954,2067169,1
1006966,1065065,6
1006966,5311694,6
1006972,1059966,15
1006972,1062676,15
1006972,1213775,2
1006972,1213776,2
1006972,2067169,2
1006989,1085669,3
1006989,1085670,3
1007010,1027376,40
1007010,2033362,40
1007018,5309052,1
1007018,6023135,1
1007027,1212051,2
1007027,1212052,2
1007027,2067169,4
1007027,6025470,2
1007029,1212053,1
1007029,1212058,1
